survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alone,embarked_Q,embarked_S,who_freq
0,3,1,-0.1207729468599034,1,0,-0.09865604727254634,0,man,True,Unknown,0.34296724470134876,False,False,True,414
1,1,0,0.1884057971014493,1,0,1.0,2,woman,False,C,0.49056603773584906,False,False,False,192
1,3,0,-0.04347826086956521,0,0,-0.08707468520142134,0,woman,False,Unknown,0.34296724470134876,True,False,True,192
1,1,0,0.1304347826086957,1,0,0.688018694892019,2,woman,False,C,0.34296724470134876,False,False,True,192
0,3,1,0.1304347826086957,0,0,-0.0849299885215834,0,man,True,Unknown,0.34296724470134876,True,False,True,414
0,3,1,0.0,0,0,-0.07792455128656066,0,man,True,Unknown,0.3333333333333333,True,True,False,414
0,1,1,0.497584541062802,0,0,0.666786197761623,2,man,True,E,0.34296724470134876,True,False,True,414
0,3,1,-0.5072463768115942,3,1,0.1385474055175325,0,child,False,Unknown,0.34296724470134876,False,False,True,76
1,3,0,-0.024154589371980683,0,2,-0.03202804233802822,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
1,2,0,-0.2753623188405797,1,0,0.2928935046574233,1,child,False,Unknown,0.49056603773584906,False,False,False,76
1,3,0,-0.46859903381642515,1,1,0.0634830217232037,0,child,False,G,0.34296724470134876,False,False,True,76
1,1,0,0.5748792270531403,0,0,0.23248512009443537,2,woman,False,C,0.34296724470134876,True,False,True,192
0,3,1,-0.15942028985507248,0,0,-0.0849299885215834,0,man,True,Unknown,0.34296724470134876,True,False,True,414
0,3,1,0.20772946859903382,1,5,0.3135546545923103,0,man,True,Unknown,0.34296724470134876,False,False,True,414
0,3,0,-0.2753623188405797,0,0,-0.08828944140088159,0,child,False,Unknown,0.34296724470134876,True,False,True,76
1,2,0,0.5169082125603864,0,0,0.051472720316111165,1,woman,False,Unknown,0.34296724470134876,True,False,True,192
0,3,1,-0.5072463768115942,4,1,0.2766658716990974,0,child,False,Unknown,0.3333333333333333,False,True,False,76
1,2,1,0.0,0,0,0.0,1,man,True,Unknown,0.34296724470134876,True,False,True,414
0,3,0,0.05314009661835751,1,0,0.08578786719351858,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
1,3,0,0.0,0,0,-0.09908498660851395,0,woman,False,Unknown,0.49056603773584906,True,False,False,192
0,2,1,0.1304347826086957,0,0,0.22304845470314827,1,man,True,Unknown,0.34296724470134876,True,False,True,414
1,2,1,0.1111111111111111,0,0,0.0,1,man,True,D,0.34296724470134876,True,False,True,414
1,3,0,-0.25603864734299514,0,0,-0.08528686604910843,0,child,False,Unknown,0.3333333333333333,True,True,False,76
1,1,1,-0.004830917874396154,0,0,0.3860454023708335,2,man,True,A,0.34296724470134876,True,False,True,414
0,3,0,-0.391304347826087,3,1,0.1385474055175325,0,child,False,Unknown,0.34296724470134876,False,False,True,76
1,3,0,0.1884057971014493,1,5,0.3154848816041645,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,3,1,0.0,0,0,-0.09908498660851395,0,man,True,Unknown,0.49056603773584906,True,False,False,414
1,3,0,0.0,0,0,-0.08786050206491394,0,woman,False,Unknown,0.3333333333333333,True,True,False,192
0,3,1,0.0,0,0,-0.08757568634583147,0,man,True,Unknown,0.34296724470134876,True,False,True,414
0,1,1,0.22705314009661845,0,0,0.25257320707646963,2,man,True,Unknown,0.49056603773584906,True,False,False,414
1,3,0,0.0,0,0,-0.09007726055319448,0,woman,False,Unknown,0.3333333333333333,True,True,False,192
0,2,1,0.7294685990338164,0,0,-0.042893933596759276,1,man,True,Unknown,0.34296724470134876,True,False,True,414
0,1,1,0.2657004830917875,1,0,0.6691453641094448,2,man,True,Unknown,0.34296724470134876,False,False,True,414
1,3,1,0.0,0,0,-0.09901292480007143,0,man,True,Unknown,0.49056603773584906,True,False,False,414
0,3,1,-0.14009661835748793,0,0,-0.0849299885215834,0,man,True,Unknown,0.34296724470134876,True,False,True,414
0,3,0,-0.19806763285024154,2,0,0.08578786719351858,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
1,3,0,-0.2753623188405797,1,0,-0.030168161377272722,0,child,False,Unknown,0.49056603773584906,False,False,False,76
0,3,0,0.22705314009661845,1,0,-0.06048044637143062,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,2,0,-0.024154589371980683,1,0,0.1372605875096297,1,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,3,1,0.0,0,0,-0.08757568634583147,0,man,True,Unknown,0.49056603773584906,True,False,False,414
1,2,0,-0.4879227053140097,1,2,0.4903497228194011,1,child,False,Unknown,0.49056603773584906,False,False,False,76
1,3,0,-0.178743961352657,0,0,-0.08786050206491394,0,woman,False,Unknown,0.3333333333333333,True,True,False,192
0,3,1,0.0,0,0,-0.0849299885215834,0,man,True,Unknown,0.34296724470134876,True,False,True,414
0,3,1,0.0,1,0,0.042893933596759276,0,man,True,Unknown,0.3333333333333333,False,True,False,414
0,3,1,0.0,2,0,0.14891401138919727,0,man,True,Unknown,0.49056603773584906,False,False,False,414
0,3,0,-0.19806763285024154,1,0,0.08235635250577784,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,3,1,-0.4106280193236715,4,1,0.45789274114540546,0,child,False,Unknown,0.34296724470134876,False,False,True,76
0,3,1,-0.14009661835748793,0,0,-0.0892193818812593,0,man,True,Unknown,0.34296724470134876,True,False,True,414
1,2,0,0.01449275362318846,1,0,0.22304845470314827,1,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,1,1,0.7101449275362322,0,1,0.8403642209689569,2,man,True,B,0.49056603773584906,False,False,False,414
1,1,1,0.0,0,0,0.3860454023708335,2,man,True,C,0.34296724470134876,True,False,True,414
1,2,0,-0.14009661835748793,0,0,-0.042893933596759276,1,woman,False,Unknown,0.34296724470134876,True,False,True,192
0,3,1,0.004830917874396154,0,0,-0.09901292480007143,0,man,True,Unknown,0.49056603773584906,True,False,False,414
1,2,0,-0.4492753623188405,1,2,0.2530742082208797,1,child,False,Unknown,0.34296724470134876,False,False,True,76
0,3,1,-0.3333333333333333,5,2,0.5816417395720558,0,child,False,Unknown,0.34296724470134876,False,False,True,76
0,3,1,-0.1207729468599034,0,0,-0.09901292480007143,0,man,True,Unknown,0.49056603773584906,True,False,False,414
0,3,1,-0.46859903381642515,3,2,0.2556478442366853,0,child,False,Unknown,0.34296724470134876,False,False,True,76
0,1,1,0.0,0,0,0.25257320707646963,2,man,True,Unknown,0.49056603773584906,True,False,False,414
1,3,1,0.0,1,1,0.03853247842864079,0,man,True,Unknown,0.49056603773584906,False,False,False,414
1,2,0,0.01449275362318846,0,0,-0.042893933596759276,1,woman,False,F,0.34296724470134876,True,False,True,192
0,3,1,-0.178743961352657,0,0,-0.08307182331817176,0,man,True,Unknown,0.34296724470134876,True,False,True,414
1,3,0,-0.21739130434782608,4,2,-0.08707468520142134,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,3,1,-0.04347826086956521,2,0,-0.07442097479037736,0,man,True,Unknown,0.34296724470134876,False,False,True,414
0,2,1,0.07246376811594203,0,0,-0.042893933596759276,1,man,True,Unknown,0.34296724470134876,True,False,True,414
0,3,0,-0.2367149758454106,5,2,0.5816417395720558,0,woman,False,Unknown,0.34296724470134876,False,False,True,192
0,3,1,-0.04347826086956521,1,0,0.02495054329456295,0,man,True,Unknown,0.49056603773584906,False,False,False,414
